,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
169,2020,FLORIDA,7,LEO VALENTIN,STEPHANIE N MURPHY,REPUBLICAN,DEMOCRAT,406449,406449,LEO VALENTIN,REPUBLICAN,STEPHANIE MURPHY,JOEL GREENBERG,DEM,REP,42.6,42.5
170,2020,FLORIDA,13,ANNA PAULINA LUNA,CHARLIE CRIST,REPUBLICAN,DEMOCRAT,406125,406125,ANNA PAULINA LUNA,REPUBLICAN,CHARLIE CRIST,CHARLIE CRIST,DEM,DEM,54.8,54.8
171,2020,FLORIDA,15,ALAN COHN,SCOTT FRANKLIN,DEMOCRAT,REPUBLICAN,390671,390671,ALAN COHN,DEMOCRAT,SCOTT FRANKLIN,SCOTT FRANKLIN,REP,REP,49.0,48.5
172,2020,FLORIDA,16,MARGARET GOOD,VERN BUCHANAN,DEMOCRAT,REPUBLICAN,484684,484684,MARGARET GOOD,DEMOCRAT,VERN BUCHANAN,VERN BUCHANAN,REP,REP,53.0,53.0
173,2020,FLORIDA,18,BRIAN J MAST,K W MILLER,REPUBLICAN,NO PARTY AFFILIATION,449720,449720,BRIAN J MAST,REPUBLICAN,BRIAN MAST,PAMELA MICHELE KEITH,REP,DEM,50.0,45.0
174,2020,FLORIDA,21,CHARLESTON MALKEMUS,LAURA LOOMER,NO PARTY AFFILIATION,REPUBLICAN,403093,403093,CHARLESTON MALKEMUS,NO PARTY AFFILIATION,LOIS FRANKEL,LAURA LOOMER,DEM,REP,61.0,33.0
175,2020,FLORIDA,26,CARLOS GIMENEZ,DEBBIE MUCARSEL-POWELL,REPUBLICAN,DEMOCRAT,342630,342630,CARLOS GIMENEZ,REPUBLICAN,CARLOS A. GIMENEZ,CARLOS CURBELO,REP,REP,47.0,45.0
176,2020,FLORIDA,27,DONNA E SHALALA,FRANK E POLO,DEMOCRAT,WRITE-IN,342975,342975,DONNA E SHALALA,DEMOCRAT,DONNA E. SHALALA,MARIA ELVIRA SALAZAR,DEM,REP,50.0,45.5
177,2020,GEORGIA,6,KAREN HANDEL,LUCY MCBATH,REPUBLICAN,DEMOCRAT,397104,397104,KAREN HANDEL,REPUBLICAN,LUCY MCBATH,KAREN HANDEL,DEM,REP,50.0,49.0
178,2020,GEORGIA,7,CAROLYN BOURDEAUX,RICH MCCORMICK,DEMOCRAT,REPUBLICAN,371464,371464,CAROLYN BOURDEAUX,DEMOCRAT,CAROLYN BOURDEAUX,RICH MCCORMICK,DEM,REP,42.0,39.0
179,2020,ILLINOIS,3,MARIE NEWMAN,MIKE FRICILONE,DEMOCRAT,REPUBLICAN,306848,306848,MARIE NEWMAN,DEMOCRAT,MARIE NEWMAN,MARIE NEWMAN,DEM,DEM,55.5,46.1
180,2020,ILLINOIS,6,BILL REDPATH,JEANNE IVES,LIBERTARIAN,REPUBLICAN,404747,404747,BILL REDPATH,LIBERTARIAN,SEAN CASTEN,JEANNE M. IVES,DEM,REP,54.7,47.0
181,2020,ILLINOIS,13,BETSY DIRKSEN LONDRIGAN,RODNEY DAVIS,DEMOCRAT,REPUBLICAN,333021,333021,BETSY DIRKSEN LONDRIGAN,DEMOCRAT,BETSY DIRKSEN LONDRIGAN,RODNEY DAVIS,DEM,REP,48.0,48.0
